1920-1924, 40.86, 19.52
1925-1929, 39.79, 19.29
1930-1934, 61.98, 45.55
1935-1939, 38.59, 20.70
1940-1944, 36.88, 14.89
1945-1949, 54.78, 35.22
1950-1954, 53.56, 20.24
1955-1959, 47.64, 17.20
1960-1964, 51.41, 24.05
1965-1969, 57.28, 26.77
1970-1974, 54.28, 27.80
1975-1979, 40.78, 12.62
1980-1984, 51.51, 19.34
1985-1989, 69.18, 24.30
1990-1994, 66.96, 42.18
1995-1999, 58.98, 20.09
2000-2004, 72.09, 37.44
2005-2009, 71.89, 53.48
2010-2014, 150.54, 34.46
2015-2019, 34.00, 0.00
