State Well Number,Latitude DD,Longitude DD,County,Date,Depth
4624901.0,31.644445,-103.006112,Ward,1936,300.0
4629502.0,31.572222,-103.430278,Ward,1936,125.0
4616144.0,31.863612,-103.124167,Winkler,1936,175.0
4632303.0,31.616112,-103.031389,Ward,1936,130.0
4636906.0,31.396667,-103.539722,Reeves,1936,319.0
4533103.0,31.459445,-102.964445,Ward,1936,157.0
4616141.0,31.870555,-103.118055,Winkler,1936,178.0
4607801.0,31.912778,-103.183055,Winkler,1936,231.0
4607918.0,31.901112,-103.129167,Winkler,1936,175.0
4607921.0,31.893334,-103.138056,Winkler,1936,180.0
4607928.0,31.893611,-103.142222,Winkler,1936,200.0
4616208.0,31.854167,-103.073889,Winkler,1936,212.0
4607931.0,31.877778,-103.129722,Winkler,1936,175.0
4608505.0,31.933334,-103.062778,Winkler,1936,248.0
4638405.0,31.446945,-103.359445,Ward,1936,38.0
4616106.0,31.870278,-103.117778,Winkler,1936,165.0
4615326.0,31.867222,-103.133055,Winkler,1936,110.0
4616117.0,31.854445,-103.116112,Winkler,1936,100.0
4616115.0,31.860834,-103.114723,Winkler,1936,163.0
4616108.0,31.868333,-103.119167,Winkler,1936,150.0
4616139.0,31.853612,-103.095,Winkler,1936,235.0
4616109.0,31.868333,-103.12,Winkler,1936,150.0
4615916.0,31.784722,-103.151667,Winkler,1937,273.0
4608406.0,31.918889,-103.091667,Winkler,1937,155.0
4533513.0,31.455556,-102.929444,Ward,1937,275.0
4533102.0,31.495,-102.971111,Ward,1937,175.0
4632504.0,31.552223,-103.045,Ward,1937,195.0
4533904.0,31.393056,-102.913334,Ward,1937,112.0
4631605.0,31.581111,-103.141389,Ward,1937,138.0
4525703.0,31.530833,-102.988889,Ward,1937,265.0
4525103.0,31.588611,-102.99,Ward,1937,157.0
4534403.0,31.44,-102.851945,Ward,1937,86.0
4534406.0,31.433334,-102.837778,Ward,1937,85.0
4615911.0,31.754723,-103.163056,Winkler,1937,180.0
4632301.0,31.606389,-103.034722,Ward,1937,140.0
4525704.0,31.530555,-102.989445,Ward,1937,260.0
4624805.0,31.648056,-103.070555,Ward,1937,180.0
4607804.0,31.876389,-103.167778,Winkler,1938,230.0
4640501.0,31.423889,-103.081944,Ward,1938,84.0
4608801.0,31.909723,-103.076667,Winkler,1938,202.0
4616124.0,31.842778,-103.101112,Winkler,1938,200.0
4608901.0,31.878889,-103.039167,Winkler,1938,180.0
4615101.0,31.841667,-103.246389,Winkler,1938,297.0
4542501.0,31.312501,-102.812501,Ward,1938,80.0
4615403.0,31.810278,-103.240834,Winkler,1938,184.0
4664501.0,31.069722,-103.08,Pecos,1938,320.0
4615906.0,31.759167,-103.155556,Winkler,1938,110.0
4623905.0,31.659723,-103.151945,Winkler,1938,400.0
4542513.0,31.312501,-102.812501,Ward,1938,13.0
4632601.0,31.563889,-103.028333,Ward,1938,235.0
4636301.0,31.500001,-103.500556,Reeves,1938,308.0
4624802.0,31.635556,-103.060001,Ward,1938,149.0
4542803.0,31.2730556,-102.8233333,Ward,1938,10.0
4624801.0,31.641667,-103.061667,Ward,1938,216.0
4620102.0,31.727222,-103.606667,Loving,1938,84.0
4639202.0,31.482778,-103.173333,Ward,1938,157.0
4623906.0,31.648056,-103.128333,Ward,1938,125.0
4621701.0,31.634722,-103.478889,Ward,1939,105.0
4608408.0,31.924444,-103.085834,Winkler,1939,180.0
4624301.0,31.730125,-103.0082278,Winkler,1939,101.0
4608409.0,31.925,-103.086389,Winkler,1939,180.0
4638504.0,31.435834,-103.327778,Ward,1939,15.0
4533508.0,31.455001,-102.949722,Ward,1939,277.0
4632903.0,31.538889,-103.036667,Ward,1939,186.0
5307101.0,30.999722,-102.245278,Pecos,1939,76.0
4632201.0,31.617222,-103.058889,Ward,1939,150.0
4662901.0,31.025278,-103.270833,Pecos,1939,180.0
4615330.0,31.839445,-103.130833,Winkler,1939,150.0
