State Well Number,Latitude DD,Longitude DD,County,Date,Depth
2142401.0,33.315001,-99.854723,Haskell,1926,54.0
1362203.0,34.120278,-99.314167,Wilbarger,1926,27.0
1354821.0,34.157223,-99.293611,Wilbarger,1926,46.0
1354848.0,34.157223,-99.308889,Wilbarger,1926,46.0
3018522.0,32.670555,-99.805556,Jones,1926,59.0
1354817.0,34.160556,-99.295278,Wilbarger,1926,42.0
1354815.0,34.161389,-99.295834,Wilbarger,1926,43.0
2128713.0,33.521111,-99.595278,Knox,1926,26.0
3018407.0,32.706945,-99.848056,Jones,1926,58.0
1362204.0,34.116944,-99.313056,Wilbarger,1926,22.0
2150304.0,33.210278,-99.770278,Haskell,1926,36.0
3018235.0,32.7475,-99.825,Jones,1927,29.0
3018220.0,32.714445,-99.817778,Jones,1927,52.0
3025304.0,32.601667,-99.886667,Jones,1927,16.0
1344903.0,34.2550722,-99.5034611,Hardeman,1927,39.0
1354834.0,34.157223,-99.307501,Wilbarger,1927,44.0
1362210.0,34.101945,-99.323333,Wilbarger,1927,40.0
3018907.0,32.638334,-99.763334,Jones,1927,55.0
2122901.0,33.642222,-99.277222,Baylor,1928,17.0
2135911.0,33.407501,-99.638889,Knox,1928,43.0
2151707.0,33.156112,-99.733334,Haskell,1928,34.0
3026401.0,32.566667,-99.841389,Jones,1928,30.0
3003507.0,32.9475,-99.704445,Jones,1928,101.0
1354846.0,34.159167,-99.309723,Wilbarger,1928,42.0
1216912.0,34.783889,-100.002778,Collingsworth,1930,60.0
1242802.0,34.278055,-100.8325,Motley,1930,151.0
1360905.0,34.002223,-99.529722,Foard,1930,27.0
3026106.0,32.585,-99.848056,Jones,1930,35.0
1240203.0,34.485278,-100.043889,Childress,1930,100.0
2924505.0,32.685834,-100.08,Jones,1930,60.0
1242902.0,34.264445,-100.785834,Motley,1930,205.0
2130124.0,33.601667,-99.343611,Baylor,1930,25.0
1242501.0,34.299722,-100.811667,Motley,1930,165.0
1242401.0,34.305556,-100.851389,Motley,1930,118.0
3010108.0,32.845278,-99.857501,Jones,1930,65.0
2134802.0,33.4168056,-99.8238417,Knox,1930,38.0
1361611.0,34.078055,-99.415834,Wilbarger,1930,30.0
3002907.0,32.905001,-99.788889,Jones,1931,62.0
1356907.0,34.151112,-99.008889,Wilbarger,1931,35.0
2150407.0,33.179722,-99.853889,Haskell,1931,42.0
1354902.0,34.150278,-99.2875,Wilbarger,1931,48.0
1462103.0,34.083611,-98.366112,Clay,1931,52.0
1354903.0,34.150001,-99.285556,Wilbarger,1931,49.0
2136325.0,33.488056,-99.509445,Knox,1931,15.0
1242901.0,34.268889,-100.759723,Motley,1932,217.0
3002710.0,32.904445,-99.8425,Jones,1932,22.0
1354904.0,34.148611,-99.287222,Wilbarger,1932,55.0
1352301.0,34.248611,-99.509167,Hardeman,1932,58.0
1354822.0,34.155834,-99.295278,Wilbarger,1933,43.0
2127937.0,33.517222,-99.653889,Knox,1933,38.0
2136146.0,33.476944,-99.609167,Knox,1933,30.0
2121925.0,33.656112,-99.405556,Baylor,1933,24.0
3018225.0,32.736111,-99.826111,Jones,1933,58.0
3025106.0,32.608334,-99.995,Jones,1933,72.0
3027125.0,32.596389,-99.733889,Jones,1933,14.0
2135742.0,33.402778,-99.742222,Knox,1933,40.0
3017818.0,32.665278,-99.952778,Jones,1934,28.0
2136101.0,33.476667,-99.613334,Knox,1934,47.0
2134728.0,33.380833,-99.843611,Haskell,1934,80.0
1356906.0,34.136389,-99.019722,Wilbarger,1935,30.0
3027201.0,32.616389,-99.699167,Jones,1935,23.0
2134947.0,33.391389,-99.789722,Haskell,1935,45.0
1354901.0,34.149445,-99.29,Wilbarger,1935,57.0
3018506.0,32.704167,-99.808612,Jones,1935,64.0
2141401.0,33.300278,-99.965556,Haskell,1935,40.0
2133706.0,33.396667,-99.97,Haskell,1935,20.0
2141319.0,33.338056,-99.904445,Haskell,1935,36.0
2141123.0,33.373889,-99.975278,Haskell,1935,42.0
1361401.0,34.060834,-99.498611,Foard,1935,19.0
3010102.0,32.868333,-99.864167,Jones,1935,25.0
2128717.0,33.528889,-99.588611,Knox,1935,19.0
1462102.0,34.083611,-98.372778,Clay,1935,65.0
1242903.0,34.283334,-100.79,Motley,1935,199.0
3017621.0,32.691667,-99.912778,Jones,1935,51.0
1346901.0,34.282222,-99.264167,Wilbarger,1936,32.0
1356402.0,34.171667,-99.113612,Wilbarger,1936,26.0
1345617.0,34.326111,-99.410001,Wilbarger,1936,33.0
2133614.0,33.424722,-99.908334,Knox,1936,18.0
2151702.0,33.156112,-99.732778,Haskell,1936,28.0
2136110.0,33.476389,-99.605556,Knox,1936,18.0
2134435.0,33.423333,-99.868333,Knox,1936,18.0
2150902.0,33.158334,-99.751389,Haskell,1936,30.0
2134537.0,33.434167,-99.815834,Knox,1936,25.0
3019411.0,32.6725,-99.7325,Jones,1936,60.0
3003504.0,32.928611,-99.685278,Jones,1936,28.0
1460616.0,34.078055,-98.524722,Wichita,1936,40.0
1460614.0,34.078055,-98.525,Wichita,1936,55.0
1243702.0,34.254723,-100.741667,Motley,1936,170.0
2134639.0,33.420278,-99.751112,Knox,1936,19.0
3018525.0,32.675278,-99.810834,Jones,1936,72.0
1460613.0,34.078333,-98.526667,Wichita,1936,40.0
2131801.0,33.502501,-99.207223,Baylor,1936,31.0
1460612.0,34.078333,-98.526667,Wichita,1936,40.0
1460617.0,34.078055,-98.524722,Wichita,1936,40.0
1242701.0,34.266944,-100.866944,Motley,1936,105.0
3003604.0,32.926667,-99.658334,Jones,1936,30.0
1460610.0,34.078333,-98.526667,Wichita,1936,40.0
1361405.0,34.064723,-99.480278,Foard,1936,37.0
2135544.0,33.447222,-99.701667,Knox,1936,16.0
2135369.0,33.475833,-99.642222,Knox,1936,30.0
1361807.0,34.039445,-99.4175,Wilbarger,1936,28.0
1360608.0,34.059167,-99.521389,Foard,1936,45.0
1460611.0,34.078333,-98.526667,Wichita,1936,40.0
3003602.0,32.937778,-99.664723,Jones,1937,20.0
1449902.0,34.151112,-98.915278,Wichita,1937,30.0
3026203.0,32.624444,-99.800834,Jones,1937,26.0
1449809.0,34.154167,-98.920833,Wichita,1937,30.0
1449814.0,34.151945,-98.917222,Wichita,1937,30.0
1449812.0,34.152778,-98.918611,Wichita,1937,30.0
1449811.0,34.153612,-98.92,Wichita,1937,30.0
1449904.0,34.151945,-98.915278,Wichita,1937,30.0
2142402.0,33.331389,-99.846389,Haskell,1937,65.0
1449813.0,34.152223,-98.918055,Wichita,1937,30.0
2915301.0,32.843889,-100.135834,Jones,1938,100.0
3019807.0,32.647778,-99.679167,Jones,1938,15.0
2150510.0,33.173611,-99.818889,Haskell,1938,37.0
3003803.0,32.903889,-99.698889,Jones,1938,23.0
1360612.0,34.057223,-99.507501,Foard,1938,36.0
3003804.0,32.903334,-99.698334,Jones,1938,21.0
1354835.0,34.155001,-99.323333,Wilbarger,1938,28.0
1360614.0,34.056945,-99.506389,Foard,1938,34.0
